game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,team_over,over_ball,inning,runs_cumulative,powerplay,wicket
1343785,2022/23,Sierra Leone,9,Mohamed Khan,13501ff4,Ismaila Tanba,180e2c15,L Lamin,5a970aab,0,0,0,0,,,,,,4,0,4,Sierra Leone_9,1,1,4,0,0
1192875,2019,New Zealand,19,DJ Mitchell,eade4650,I Udana,ac5ae4af,MJ Santner,e4a0deae,0,0,0,0,,,,,,2,0,2,New Zealand_19,1,1,2,0,0
523735,2011,Zimbabwe,15,RW Price,67af6f81,Mohammad Hafeez,9ab63e7b,CB Mpofu,49691d7a,0,0,0,0,RW Price,67af6f81,,,bowled,0,0,0,Zimbabwe_15,1,1,0,0,1
1400974,2023/24,Sierra Leone,18,C Bah,7213d757,C Udekwe,74a578d0,B Williams,6cd3a166,0,0,0,0,C Bah,7213d757,,,bowled,0,0,0,Sierra Leone_18,1,1,0,0,1
1168027,2019,Australia,17,EA Perry,be150fc8,KH Brunt,6a434bd3,MM Lanning,27e003ce,0,0,0,0,,,,,,1,0,1,Australia_17,1,1,1,0,0
1271451,2021,Germany,13,Sahir Naqash,352e589f,Vinay Ravi,9c181b99,Talha Khan,8e5a1a7a,0,0,0,0,,,,,,6,0,6,Germany_13,1,1,6,0,0
1394760,2023,Nepal,2,K Kunwar,97e6e41a,TI Gajanayake,d577d45a,SR Magar,61c22ad0,0,0,0,0,,,,,,2,0,2,Nepal_2,1,1,2,1,0
698995,2013/14,Pakistan,16,Bismah Maroof,3b770527,M Kapp,63e3b6b3,Nahida Khan,3e7c0b1e,0,0,0,0,,,,,,4,0,4,Pakistan_16,1,1,4,0,0
1188621,2019,India,17,Washington Sundar,f19ccfad,KMA Paul,75224f22,RA Jadeja,fe93fd9d,0,0,0,0,,,,,,6,0,6,India_17,1,1,6,0,0
356010,2009,India,19,MS Dhoni,4a8a2e3b,RJ Sidebottom,9dca07d7,YK Pathan,3c6ffae8,0,0,0,0,,,,,,4,0,4,India_19,1,1,4,0,0
1197066,2019,Netherlands,19,C de Lange,c6a019f5,PA Chatterji,8e7be59c,EN Lynch,4d35d0b3,0,0,0,0,C de Lange,c6a019f5,,,bowled,0,0,0,Netherlands_19,1,1,0,0,1
1384591,2023,Romania,18,P Hingorani,ecfdfbad,G Mckeon,31366b7e,M Koli,eb0f2802,0,0,0,0,P Hingorani,ecfdfbad,,,bowled,0,0,0,Romania_18,1,1,0,0,1
1249237,2020/21,New Zealand,17,ML Green,865eae1f,NR Sciver,f3a18a0c,RA Mair,d5eb8b84,0,0,0,0,ML Green,865eae1f,S Ecclestone,cdb82f1c,caught,0,0,0,New Zealand_17,1,1,0,0,1
1187678,2019/20,India,17,S Dube,a4e37e47,TG Southee,13c35c9e,KL Rahul,b17e2f24,0,0,0,0,,,,,,6,0,6,India_17,1,1,6,0,0
1299585,2021/22,United Arab Emirates,18,Rohan Mustafa,d1988788,BJ McCarthy,3766056b,Basil Hameed,adbf0400,0,0,0,0,,,,,,1,0,1,United Arab Emirates_18,1,1,1,0,0
636536,2013/14,England,19,TT Bresnan,58043739,DJ Bravo,87e562a9,JW Dernbach,7be8a0ed,0,0,0,0,,,,,,4,0,4,England_19,1,1,4,0,0
1198235,2020,Australia,19,MP Stoinis,d9273ee7,TK Curran,e86754b2,PJ Cummins,ded9240e,0,0,0,0,,,,,,2,0,2,Australia_19,1,1,2,0,0
1223942,2020/21,Australia,16,MM Lanning,27e003ce,RA Mair,d5eb8b84,RL Haynes,d7c6b0fb,0,0,0,0,,,,,,1,0,1,Australia_16,1,1,1,0,0
